GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000162607	1950	997	1	2518	963	997
ENSG00000162613	1437	1961	0	2257	3032	1961
ENSG00000162614	28	85	67	64	2	85
ENSG00000162616	1209	27	1	200	0	27
ENSG00000162618	0	0	9	0	0	0
ENSG00000162620	0	180	0	0	0	180
ENSG00000162621	0	0	0	0	0	0
ENSG00000162623	312	278	0	643	3303	278
ENSG00000162624	0	0	0	0	5	0
ENSG00000162627	0	0	1	0	0	0
ENSG00000162630	300	10	0	0	8	10
ENSG00000162631	0	0	0	0	0	0
ENSG00000162636	76	232	0	168	95	232
ENSG00000162639	927	1645	0	855	3	1645
ENSG00000162641	0	1	0	0	0	1
ENSG00000162642	2748	2206	834	1826	4	2206
ENSG00000162643	0	0	0	0	0	0
ENSG00000162645	12729	7633	7016	9359	11333	7633
ENSG00000162650	271	308	17	365	2983	308
ENSG00000162654	1350	1688	32	1078	845	1688
ENSG00000162664	388	780	0	193	771	780
ENSG00000162669	0	0	0	0	0	0
ENSG00000162670	0	0	0	0	0	0
ENSG00000162676	1197	541	0	101	0	541
ENSG00000162685	0	0	0	0	0	0
ENSG00000162687	0	0	6	0	0	0
ENSG00000162688	12	248	0	498	20	248
ENSG00000162692	0	0	0	0	0	0
ENSG00000162694	0	0	1	70	6	0
ENSG00000162695	4008	3929	6731	3328	4869	3929
ENSG00000162699	0	0	0	0	0	0
ENSG00000162702	3635	762	1	941	5583	762
ENSG00000162704	5103	6159	6234	4871	6981	6159
ENSG00000162706	0	0	0	0	0	0
ENSG00000162711	0	0	3	149	0	0
ENSG00000162714	655	24	3	616	3	24
ENSG00000162722	0	0	0	0	0	0
ENSG00000162723	0	0	0	0	0	0
ENSG00000162727	0	0	0	0	0	0
ENSG00000162728	0	0	0	24	0	0
ENSG00000162729	1562	349	2	1850	1	349
ENSG00000162733	0	0	5	0	0	0
ENSG00000162734	1679	5192	12858	1786	2891	5192
ENSG00000162735	1790	575	1	1382	0	575
ENSG00000162736	3311	1539	15	2403	4	1539
ENSG00000162738	0	0	0	0	0	0
ENSG00000162739	819	360	12630	1019	0	360
ENSG00000162745	0	0	0	0	0	0
ENSG00000162746	0	0	0	0	0	0
ENSG00000162747	0	0	0	0	0	0
ENSG00000162753	0	0	0	0	0	0
ENSG00000162755	0	0	0	0	0	0
ENSG00000162757	31	28	0	8	0	28
ENSG00000162761	0	0	0	0	0	0
ENSG00000162763	0	0	0	0	1	0
ENSG00000162769	410	380	1	3	500	380
ENSG00000162771	0	0	0	0	0	0
ENSG00000162772	0	4	0	0	0	4
ENSG00000162775	0	1316	2	427	0	1316
ENSG00000162777	4021	4128	57	5757	53	4128
ENSG00000162779	0	0	0	0	0	0
ENSG00000162782	0	0	0	0	0	0
ENSG00000162783	1060	234	4	435	146	234
ENSG00000162804	571	3258	330	562	5050	3258
ENSG00000162813	0	108	0	138	0	108
ENSG00000162814	0	0	0	0	0	0
ENSG00000162817	0	0	0	361	0	0
ENSG00000162819	3380	4220	2192	4118	3609	4220
ENSG00000162825	357	182	145	204	254	182
ENSG00000162836	268	360	0	87	11	360
ENSG00000162840	0	0	0	0	0	0
ENSG00000162843	0	0	0	0	1	0
ENSG00000162849	0	0	0	0	0	0
ENSG00000162851	176	730	0	748	0	730
ENSG00000162852	1408	2638	27	3007	346	2638
ENSG00000162869	975	1916	1	3130	9010	1916
ENSG00000162873	0	0	0	0	0	0
ENSG00000162877	0	358	0	0	0	358
ENSG00000162878	0	0	1	0	0	0
ENSG00000162881	0	0	0	0	0	0
ENSG00000162882	0	0	0	0	0	0
ENSG00000162885	38	202	1	324	1198	202
ENSG00000162888	0	0	4	0	0	0
ENSG00000162889	5341	4635	1076	3795	12074	4635
ENSG00000162891	2	0	0	0	0	0
ENSG00000162892	42	135	1	139	7	135
ENSG00000162894	13076	3538	23	9269	4641	3538
ENSG00000162896	0	0	0	0	0	0
ENSG00000162897	0	0	0	0	0	0
ENSG00000162909	2120	4537	11392	4150	20855	4537
ENSG00000162910	1540	1732	176	1335	7	1732
ENSG00000162913	0	0	0	2	0	0
ENSG00000162923	399	1470	141	941	85	1470
ENSG00000162924	905	960	2	1366	1119	960
ENSG00000162927	53	0	0	31	0	0
ENSG00000162928	1019	210	0	393	970	210
ENSG00000162929	0	318	0	1	0	318
ENSG00000162931	0	0	0	0	0	0
ENSG00000162944	20	1	0	4	5	1
ENSG00000162946	3	0	0	517	0	0
ENSG00000162947	0	0	0	0	0	0
ENSG00000162949	0	0	0	0	0	0
ENSG00000162951	0	0	0	0	0	0
ENSG00000162959	6	133	0	145	45	133
ENSG00000162961	664	897	1	657	1717	897
ENSG00000162971	584	151	6	807	0	151
ENSG00000162972	451	460	1	313	0	460
ENSG00000162975	0	0	0	0	0	0
ENSG00000162976	523	3292	2141	1376	1744	3292
ENSG00000162980	602	151	2	398	223	151
ENSG00000162981	0	0	0	0	0	0
ENSG00000162989	0	0	0	1	0	0
ENSG00000162992	0	0	0	0	0	0
ENSG00000162994	2	0	0	148	1	0
ENSG00000162997	1195	0	0	1	0	0
ENSG00000162998	0	0	0	0	0	0
ENSG00000162999	0	19	0	0	0	19
ENSG00000163001	3871	1688	1	1895	5	1688
ENSG00000163002	820	210	1	350	477	210
ENSG00000163006	1081	477	1	58	0	477
ENSG00000163012	0	0	0	0	0	0
ENSG00000163013	526	15	10	212	1	15
ENSG00000163016	0	0	0	0	0	0
ENSG00000163017	0	0	1	0	0	0
ENSG00000163026	0	171	0	8	0	171
ENSG00000163029	2300	652	5	341	4572	652
ENSG00000163032	1	0	1	0	0	0
ENSG00000163040	1	1	0	0	0	1
ENSG00000163041	2434	2309	1587	2450	1684	2309
ENSG00000163046	1	4	6	0	0	4
ENSG00000163050	68	38	0	114	0	38
ENSG00000163053	0	0	0	65	0	0
ENSG00000163060	9	0	0	0	0	0
ENSG00000163064	0	0	0	0	0	0
ENSG00000163069	0	294	2	868	2004	294
ENSG00000163071	0	0	0	0	0	0
ENSG00000163072	0	0	0	0	0	0
ENSG00000163075	0	0	0	0	0	0
ENSG00000163081	1	0	0	0	0	0
ENSG00000163082	0	1	0	0	313	1
ENSG00000163083	0	0	0	0	0	0
ENSG00000163092	0	0	0	0	0	0
ENSG00000163093	244	1	0	58	0	1
ENSG00000163098	0	0	0	0	0	0
ENSG00000163104	33	121	1700	450	1597	121
ENSG00000163106	0	0	0	0	0	0
ENSG00000163110	183	478	40	754	1	478
ENSG00000163114	0	0	0	0	0	0
ENSG00000163116	0	0	0	0	0	0
ENSG00000163121	0	0	0	0	0	0
ENSG00000163125	1772	1811	1	2893	20	1811
ENSG00000163126	2	95	0	63	1	95
ENSG00000163131	2075	716	0	2519	5853	716
ENSG00000163132	0	0	13	0	0	0
ENSG00000163138	31	1	0	0	0	1
ENSG00000163141	6	0	0	149	224	0
ENSG00000163145	0	0	0	0	0	0
ENSG00000163154	457	345	0	330	2	345
ENSG00000163155	28	222	0	675	0	222
ENSG00000163156	2296	1110	1	1979	36	1110
ENSG00000163157	0	63	0	1	0	63
ENSG00000163159	2126	943	2240	1020	2214	943
ENSG00000163161	3984	1930	0	2175	1745	1930
ENSG00000163162	4639	2907	2944	4007	6945	2907
ENSG00000163166	486	1844	23	1243	2437	1844
ENSG00000163170	111	143	8	432	214	143
ENSG00000163171	1039	1117	0	721	742	1117
ENSG00000163191	3491	13746	4509	4930	4198	13746
ENSG00000163202	0	0	0	0	0	0
ENSG00000163206	0	0	0	0	0	0
ENSG00000163207	0	0	0	0	0	0
ENSG00000163209	0	0	0	0	0	0
ENSG00000163214	3	538	0	463	2	538
ENSG00000163216	0	0	0	0	0	0
ENSG00000163217	0	0	0	0	0	0
ENSG00000163218	0	0	0	0	0	0
ENSG00000163219	2181	1840	4719	1820	2757	1840
ENSG00000163220	0	0	0	0	0	0
ENSG00000163221	0	0	0	0	0	0
ENSG00000163235	2	0	0	0	0	0
ENSG00000163239	0	0	0	0	0	0
ENSG00000163249	749	57	0	1	0	57
ENSG00000163251	0	0	5	2	2	0
ENSG00000163254	0	0	0	0	0	0
ENSG00000163257	1302	1151	15	1472	667	1151
ENSG00000163263	1	0	0	0	0	0
ENSG00000163273	0	0	0	0	0	0
ENSG00000163281	141	1062	0	398	0	1062
ENSG00000163283	0	0	0	0	0	0
ENSG00000163285	0	0	0	0	0	0
ENSG00000163286	0	0	0	0	0	0
ENSG00000163288	0	0	0	0	0	0
ENSG00000163291	353	885	1	856	2171	885
ENSG00000163293	15	0	0	0	1	0
ENSG00000163295	0	0	0	0	0	0
ENSG00000163297	693	1094	2	437	5903	1094
ENSG00000163312	2185	773	0	1033	397	773
ENSG00000163319	913	1157	2909	1192	873	1157
ENSG00000163320	8276	3561	15	6318	9431	3561
ENSG00000163322	1216	370	0	322	0	370
ENSG00000163328	2118	508	37	1843	2428	508
ENSG00000163331	0	0	0	1	0	0
ENSG00000163344	988	1512	0	929	968	1512
ENSG00000163346	9770	9208	119	9548	11880	9208
ENSG00000163347	0	0	0	0	0	0
ENSG00000163348	5338	2482	1614	3538	5575	2482
ENSG00000163349	146	1962	9891	591	72	1962
ENSG00000163352	0	0	0	0	0	0
ENSG00000163354	0	4	0	0	0	4
ENSG00000163357	0	0	0	0	0	0
ENSG00000163359	0	0	0	0	0	0
ENSG00000163362	0	1	9	0	0	1
ENSG00000163364	0	0	0	0	0	0
ENSG00000163374	4186	2945	6224	3852	2270	2945
ENSG00000163376	0	82	0	0	0	82
ENSG00000163377	0	0	1	0	0	0
ENSG00000163378	197	444	1	359	154	444
ENSG00000163380	0	51	0	81	0	51
ENSG00000163382	3294	5922	11639	3938	1956	5922
ENSG00000163389	1309	987	1	2823	1003	987
ENSG00000163393	0	0	0	0	0	0
ENSG00000163394	0	0	0	0	0	0
ENSG00000163395	0	0	0	0	0	0
ENSG00000163399	8404	11336	8	11784	13053	11336
ENSG00000163406	0	1	0	0	0	1
ENSG00000163412	2491	920	3319	1569	3216	920
ENSG00000163421	1	0	0	0	0	0
ENSG00000163424	0	0	0	0	0	0
ENSG00000163428	591	521	0	671	28	521
ENSG00000163430	0	0	1	0	1	0
ENSG00000163431	0	0	0	0	0	0
ENSG00000163435	0	0	0	0	0	0
ENSG00000163440	0	0	0	0	0	0
ENSG00000163444	2684	2220	3	3083	6027	2220
ENSG00000163449	9	13	0	9	2	13
ENSG00000163453	0	0	0	0	0	0
ENSG00000163462	0	82	0	0	59	82
ENSG00000163463	154	250	0	757	274	250
ENSG00000163464	0	0	0	0	0	0
ENSG00000163466	25376	28452	27086	24563	46631	28452
ENSG00000163467	128	29	0	138	0	29
ENSG00000163468	5582	4521	6083	5280	6904	4521
ENSG00000163472	560	235	1	1606	0	235
ENSG00000163479	5192	5812	1	5610	7619	5812
ENSG00000163481	1056	2440	591	2189	2748	2440
ENSG00000163482	1	7	6	28	8	7
ENSG00000163485	0	0	0	14	0	0
ENSG00000163491	0	0	0	0	86	0
ENSG00000163492	0	0	0	22	164	0
ENSG00000163497	0	0	0	0	0	0
ENSG00000163499	0	0	0	0	0	0
ENSG00000163501	0	0	0	0	0	0
ENSG00000163507	0	4	0	20	5	4
ENSG00000163508	4	1	0	51	0	1
ENSG00000163510	1362	2838	42	456	4029	2838
ENSG00000163512	225	415	0	524	604	415
ENSG00000163513	4481	3372	56	7797	276	3372
ENSG00000163515	0	0	0	0	0	0
ENSG00000163516	15009	4428	11	13506	11205	4428
ENSG00000163517	0	819	0	173	0	819
ENSG00000163518	0	0	0	0	0	0
ENSG00000163519	10359	14837	2	6870	8	14837
ENSG00000163520	0	0	0	0	0	0
ENSG00000163521	0	0	0	0	0	0
ENSG00000163527	5966	5009	65	5810	9851	5009
ENSG00000163528	495	244	7	1214	0	244
ENSG00000163530	0	0	0	0	0	0
ENSG00000163531	0	0	0	4	0	0
ENSG00000163534	0	0	0	17	0	0
ENSG00000163535	0	298	0	79	0	298
ENSG00000163536	0	541	0	0	0	541
ENSG00000163539	2878	945	0	2008	2	945
ENSG00000163541	509	1313	2	776	1682	1313
ENSG00000163545	1606	741	1	4013	0	741
ENSG00000163554	0	0	0	0	0	0
ENSG00000163558	334	588	9	1291	11	588
ENSG00000163563	0	0	0	0	0	0
ENSG00000163564	9	612	0	839	846	612
ENSG00000163565	2749	3372	5762	3224	5093	3372
ENSG00000163568	0	565	0	172	0	565
ENSG00000163576	0	0	0	0	1	0
ENSG00000163577	183	148	4586	32	0	148
ENSG00000163581	0	1	0	0	0	1
ENSG00000163584	665	54	1	374	9	54
ENSG00000163586	0	0	0	0	0	0
ENSG00000163590	0	1	0	0	0	1
ENSG00000163596	0	0	0	34	0	0
ENSG00000163597	330	935	1	450	21	935
ENSG00000163599	8	9	347	161	3497	9
ENSG00000163600	563	3491	4	841	3247	3491
ENSG00000163602	214	713	18	622	241	713
ENSG00000163605	1593	2301	9081	2397	2145	2301
ENSG00000163606	0	541	0	159	0	541
ENSG00000163607	1192	916	0	878	0	916
ENSG00000163608	2949	59	4	1356	4272	59
ENSG00000163611	90	15	0	84	0	15
ENSG00000163612	0	6	0	4	1	6
ENSG00000163617	19	0	1198	0	0	0
ENSG00000163618	0	0	0	0	0	0
ENSG00000163623	0	0	4	0	0	0
ENSG00000163624	0	2	0	1	0	2
ENSG00000163625	0	0	0	0	0	0
ENSG00000163626	300	331	2	124	801	331
ENSG00000163629	0	13	0	8	0	13
ENSG00000163630	0	0	0	0	0	0
ENSG00000163631	0	0	0	0	0	0
ENSG00000163632	0	0	0	8	0	0
ENSG00000163633	0	1	0	0	0	1
ENSG00000163634	3010	2122	7991	1276	2215	2122
ENSG00000163635	359	1647	6	2390	8049	1647
ENSG00000163636	5868	2276	106	5575	3624	2276
ENSG00000163637	0	0	0	1	0	0
ENSG00000163638	0	0	0	0	0	0
ENSG00000163644	468	1535	10	1678	281	1535
ENSG00000163645	0	0	0	0	0	0
ENSG00000163646	0	0	0	0	0	0
ENSG00000163655	2637	1767	59	1229	7	1767
ENSG00000163659	602	2572	10	847	0	2572
ENSG00000163660	2381	2377	2098	3367	3179	2377
ENSG00000163661	0	0	0	0	0	0
ENSG00000163666	0	20	0	0	1	20
ENSG00000163673	0	0	0	0	0	0
ENSG00000163681	1044	1426	1	967	3396	1426
ENSG00000163682	11429	13052	1172	10317	4384	13052
ENSG00000163683	3	2163	1	421	784	2163
ENSG00000163684	42	94	0	64	0	94
ENSG00000163686	228	785	4	78	0	785
ENSG00000163687	0	0	0	0	0	0
ENSG00000163689	0	0	0	0	0	0
ENSG00000163694	1	1	1	8	16	1
ENSG00000163697	0	28	0	0	0	28
ENSG00000163701	0	313	0	6	2	313
ENSG00000163702	0	0	6	59	0	0
ENSG00000163703	630	390	0	927	1171	390
ENSG00000163704	1382	361	0	105	1	361
ENSG00000163705	0	0	0	0	0	0
ENSG00000163710	0	0	0	0	0	0
ENSG00000163714	6558	6604	16287	3486	6781	6604
ENSG00000163719	1606	3112	14464	4000	5990	3112
ENSG00000163728	1353	1148	1	1849	2654	1148
ENSG00000163734	0	0	0	0	0	0
ENSG00000163735	0	1	0	0	0	1
ENSG00000163736	0	0	0	0	0	0
ENSG00000163737	0	0	0	0	0	0
ENSG00000163738	8	94	1	388	0	94
ENSG00000163739	0	47	0	0	0	47
ENSG00000163743	605	418	3	1478	1	418
ENSG00000163746	0	0	0	0	0	0
ENSG00000163749	0	0	0	0	0	0
ENSG00000163751	0	0	0	0	0	0
ENSG00000163754	339	633	13	615	2404	633
ENSG00000163755	642	540	0	538	0	540
ENSG00000163762	0	0	0	0	0	0
ENSG00000163781	602	1402	1	562	4171	1402
ENSG00000163785	113	618	1	803	249	618
ENSG00000163788	6193	462	55	1708	24	462
ENSG00000163792	0	0	0	0	0	0
ENSG00000163793	0	0	0	0	0	0
ENSG00000163794	448	444	1	592	1	444
ENSG00000163795	556	1143	6	1376	1949	1143
ENSG00000163798	711	3297	1	1867	2900	3297
ENSG00000163803	330	0	0	146	3	0
ENSG00000163806	9	2	0	29	137	2
ENSG00000163807	105	461	0	266	1053	461
ENSG00000163808	0	12	0	0	0	12
ENSG00000163810	0	1	0	0	0	1
ENSG00000163811	1763	919	10909	494	755	919
ENSG00000163812	473	408	6	438	38	408
ENSG00000163814	0	0	1	0	0	0
ENSG00000163815	0	0	0	0	0	0
ENSG00000163817	0	311	0	0	0	311
ENSG00000163818	0	116	0	76	0	116
ENSG00000163820	22	231	1605	590	65	231
ENSG00000163823	0	0	0	0	0	0
ENSG00000163825	0	0	0	0	0	0
ENSG00000163827	1	56	0	0	223	56
ENSG00000163832	258	843	1	448	1881	843
ENSG00000163833	0	217	0	1	829	217
ENSG00000163840	775	1050	49	2663	3712	1050
ENSG00000163848	7959	7089	1	9005	10126	7089
ENSG00000163864	696	35	0	37	3	35
ENSG00000163866	1182	658	0	1559	4197	658
ENSG00000163867	328	316	0	416	219	316
ENSG00000163870	1677	1754	3	2011	1579	1754
ENSG00000163872	1828	1028	1	1995	2220	1028
ENSG00000163873	0	0	4	0	0	0
ENSG00000163874	510	142	65	744	174	142
ENSG00000163875	2951	4379	0	3091	1471	4379
ENSG00000163877	1	5	0	245	0	5
ENSG00000163879	0	0	0	0	0	0
ENSG00000163882	1217	1390	19	1028	3562	1390
ENSG00000163884	0	0	1	0	0	0
ENSG00000163885	0	0	0	0	0	0
ENSG00000163888	0	0	2	0	0	0
ENSG00000163898	0	0	0	0	1	0
ENSG00000163900	481	1614	0	278	1	1614
ENSG00000163902	4798	7073	115	4927	3099	7073
ENSG00000163904	47	677	24	1105	665	677
ENSG00000163909	0	0	0	0	0	0
ENSG00000163913	1001	399	2	601	3082	399
ENSG00000163914	0	0	0	0	0	0
ENSG00000163915	0	0	0	0	0	0
ENSG00000163918	972	728	1	165	365	728
ENSG00000163923	4	5	904	2	5	5
ENSG00000163930	4551	5218	323	5888	9200	5218
ENSG00000163931	3037	2588	12902	2017	4869	2588
ENSG00000163932	7	1102	0	560	7	1102
ENSG00000163933	782	305	11	1058	3	305
ENSG00000163935	2981	2131	688	2128	2	2131
ENSG00000163938	2705	1404	4	1714	384	1404
ENSG00000163939	4216	6897	2221	5981	5584	6897
ENSG00000163945	588	735	2138	1186	200	735
ENSG00000163946	95	166	3	354	112	166
ENSG00000163947	1381	2003	13	2226	573	2003
ENSG00000163950	3528	3348	13	2510	3534	3348
ENSG00000163956	4925	4099	3637	3677	8890	4099
ENSG00000163958	0	0	0	0	0	0
ENSG00000163959	1	56	1	23	229	56
ENSG00000163960	286	879	0	640	145	879
ENSG00000163961	3485	6763	6817	5272	967	6763
ENSG00000163964	2287	1927	55	1003	4850	1927
ENSG00000163975	5	2	6	19	1	2
ENSG00000163982	0	0	0	0	0	0
ENSG00000163993	0	0	0	0	0	0
ENSG00000163995	251	169	5	6	0	169
ENSG00000164002	837	455	5	463	0	455
ENSG00000164007	0	0	0	0	0	0
ENSG00000164008	4	119	6	15	1	119
ENSG00000164010	0	4	0	0	0	4
ENSG00000164011	45	553	1	522	1	553
ENSG00000164022	1136	1881	250	1710	3888	1881
ENSG00000164023	0	0	0	0	0	0
ENSG00000164024	2176	1428	76	2325	8	1428
ENSG00000164031	1155	730	27	1433	2503	730
ENSG00000164032	5989	6350	78	6713	4146	6350
ENSG00000164035	0	0	0	0	0	0
ENSG00000164037	94	0	0	7	405	0
ENSG00000164038	200	255	1	223	1945	255
ENSG00000164039	240	398	0	668	2479	398
ENSG00000164040	5123	5256	625	4471	11064	5256
ENSG00000164045	0	1	1	1	0	1
ENSG00000164047	0	0	1	0	0	0
ENSG00000164048	6	577	4	1041	6	577
ENSG00000164049	0	0	1	0	0	0
ENSG00000164050	0	92	4	2	0	92
ENSG00000164051	228	182	0	340	1	182
ENSG00000164053	431	934	17	774	133	934
ENSG00000164054	8485	9645	2782	11063	13891	9645
ENSG00000164056	447	129	1	63	0	129
ENSG00000164061	0	0	0	0	0	0
ENSG00000164062	2718	2861	1656	3317	2394	2861
ENSG00000164066	0	0	1	0	0	0
ENSG00000164068	841	676	0	1071	120	676
ENSG00000164070	0	0	2	0	30	0
ENSG00000164073	871	2299	288	1719	528	2299
ENSG00000164074	308	150	26	266	337	150
ENSG00000164076	0	0	2	0	1	0
ENSG00000164077	1	1657	1	408	6668	1657
ENSG00000164078	0	0	0	0	0	0
ENSG00000164080	1827	2090	1379	1458	5944	2090
ENSG00000164081	1544	2222	8	2778	184	2222
ENSG00000164082	0	0	0	2	2	0
ENSG00000164086	210	30	0	62	0	30
ENSG00000164087	0	3	0	0	0	3
ENSG00000164088	802	886	82	586	3268	886
ENSG00000164089	0	0	0	0	0	0
ENSG00000164091	4759	3197	91	3734	528	3197
ENSG00000164093	0	0	0	0	0	0
ENSG00000164096	10337	5423	8286	10855	10104	5423
ENSG00000164099	0	0	0	0	0	0
ENSG00000164100	0	0	0	0	0	0
ENSG00000164104	4464	2534	752	2462	2483	2534
ENSG00000164105	783	9	0	212	1	9
ENSG00000164106	0	0	0	0	2	0
ENSG00000164107	0	0	0	0	0	0
ENSG00000164109	236	428	0	253	292	428
ENSG00000164111	246	3049	30	2011	2074	3049
ENSG00000164112	0	1	0	0	0	1
ENSG00000164113	0	0	0	0	0	0
ENSG00000164114	420	221	1	178	0	221
ENSG00000164116	0	0	0	0	0	0
ENSG00000164117	210	947	0	185	0	947
ENSG00000164118	3	13	1	455	1	13
ENSG00000164120	0	322	21	2	9447	322
ENSG00000164122	0	0	0	0	0	0
ENSG00000164123	0	0	0	0	0	0
ENSG00000164124	0	0	0	0	0	0
ENSG00000164125	0	0	0	0	0	0
ENSG00000164128	0	0	0	0	0	0
ENSG00000164129	0	0	0	0	0	0
ENSG00000164134	2167	987	0	2156	4416	987
ENSG00000164136	5	38	0	82	0	38
ENSG00000164142	0	0	0	83	0	0
ENSG00000164144	295	2086	0	115	2931	2086
ENSG00000164151	2273	804	5	1414	10	804
ENSG00000164161	0	0	0	0	0	0
ENSG00000164162	145	61	0	109	1	61
ENSG00000164163	2354	1254	7	2482	5303	1254
ENSG00000164164	15	1568	0	1113	556	1568
ENSG00000164167	2754	1569	1	2053	3080	1569
ENSG00000164168	1176	1323	0	715	0	1323
ENSG00000164169	184	978	0	272	0	978
ENSG00000164171	0	0	0	0	0	0
ENSG00000164172	597	1796	0	2063	1582	1796
ENSG00000164175	0	0	0	0	0	0
ENSG00000164176	0	0	0	0	0	0
ENSG00000164180	64	79	0	266	0	79
ENSG00000164181	0	0	0	0	0	0
ENSG00000164182	947	794	5379	338	1298	794
ENSG00000164185	0	0	0	0	0	0
ENSG00000164187	459	105	5	580	1	105
ENSG00000164188	0	0	0	0	0	0
ENSG00000164190	3992	2060	1394	7146	3468	2060
ENSG00000164197	0	0	0	0	0	0
ENSG00000164199	23	22	2	16	0	22
ENSG00000164209	760	1631	1	1560	1	1631
ENSG00000164211	257	233	3149	290	0	233
ENSG00000164219	1161	1631	5	1574	455	1631
ENSG00000164220	54	897	2261	74	1309	897
ENSG00000164221	8	403	0	290	0	403
ENSG00000164236	5	0	0	21	983	0
ENSG00000164237	0	0	0	0	0	0
ENSG00000164241	461	419	0	196	4	419
ENSG00000164244	225	282	0	2467	3	282
ENSG00000164251	1	337	0	460	0	337
ENSG00000164252	762	198	2	493	3	198
ENSG00000164253	1617	1	0	448	2	1
ENSG00000164256	0	0	0	0	0	0
ENSG00000164258	354	719	4	471	1204	719
ENSG00000164265	0	0	0	0	0	0
ENSG00000164266	0	0	0	0	0	0
ENSG00000164270	0	0	0	0	0	0
ENSG00000164283	0	177	0	0	0	177
ENSG00000164284	995	872	0	507	3343	872
ENSG00000164287	0	0	0	1	0	0
ENSG00000164291	0	724	0	406	0	724
ENSG00000164292	0	0	0	35	0	0
ENSG00000164294	0	0	2	0	0	0
ENSG00000164296	0	0	2053	1	0	0
ENSG00000164299	0	0	0	0	0	0
ENSG00000164300	4772	3643	330	6234	744	3643
ENSG00000164303	0	0	0	0	0	0
ENSG00000164304	0	0	0	28	266	0
ENSG00000164305	7	527	2	380	2071	527
ENSG00000164306	543	385	1	366	2000	385
ENSG00000164307	1558	2199	1	2766	4082	2199
ENSG00000164308	5989	2249	19180	5146	4248	2249
ENSG00000164309	0	0	0	0	0	0
ENSG00000164318	0	0	0	0	0	0
ENSG00000164323	970	1065	4	937	3663	1065
ENSG00000164325	0	0	0	0	0	0
ENSG00000164326	0	0	0	0	0	0
ENSG00000164327	1514	1056	47	1341	269	1056
ENSG00000164329	2730	1437	6762	2902	4054	1437
ENSG00000164330	1	0	9	2	4	0
ENSG00000164331	936	1319	0	1881	1034	1319
ENSG00000164332	872	728	7608	658	8	728
ENSG00000164334	0	0	0	0	0	0
ENSG00000164338	114	879	2	139	6	879
ENSG00000164342	0	72	0	146	0	72
ENSG00000164344	0	0	0	4	0	0
ENSG00000164346	1719	618	8	510	515	618
ENSG00000164347	306	320	2	593	2644	320
ENSG00000164362	0	0	0	0	0	0
ENSG00000164363	0	0	0	0	0	0
ENSG00000164366	1247	917	1	462	0	917
ENSG00000164379	0	0	0	0	0	0
ENSG00000164385	0	0	0	0	0	0
ENSG00000164393	0	0	0	0	0	0
ENSG00000164398	88	4	0	42	0	4
ENSG00000164399	0	0	0	0	0	0
ENSG00000164400	0	0	0	0	0	0
ENSG00000164402	3	164	24	111	0	164
ENSG00000164403	2	0	0	0	0	0
ENSG00000164404	0	0	0	0	0	0
ENSG00000164405	3212	2996	2898	1822	650	2996
ENSG00000164406	168	77	0	26	0	77
ENSG00000164411	3	0	0	0	0	0
ENSG00000164414	408	323	0	203	633	323
ENSG00000164418	21	0	1	1	0	0
ENSG00000164430	534	198	0	577	3908	198
ENSG00000164434	0	0	0	0	0	0
ENSG00000164438	0	0	0	0	0	0
ENSG00000164440	12	0	0	0	0	0
ENSG00000164442	1456	681	0	978	25	681
ENSG00000164451	0	0	0	0	0	0
ENSG00000164458	0	0	0	0	0	0
ENSG00000164463	327	106	7	410	727	106
ENSG00000164465	1054	0	0	10	0	0
ENSG00000164466	11787	5521	305	8439	5528	5521
ENSG00000164483	306	83	0	14	1	83
ENSG00000164484	0	1	0	0	0	1
ENSG00000164485	0	0	0	0	0	0
ENSG00000164488	0	0	0	0	0	0
ENSG00000164494	951	385	0	99	216	385
ENSG00000164500	0	0	0	0	0	0
ENSG00000164506	160	229	1	247	55	229
ENSG00000164508	0	0	0	0	0	0
ENSG00000164509	0	0	0	0	0	0
ENSG00000164512	184	1	6	32	1	1
ENSG00000164520	0	0	0	0	0	0
ENSG00000164530	0	0	0	239	0	0
ENSG00000164532	0	0	0	0	0	0
ENSG00000164535	1047	642	3593	665	4	642
ENSG00000164542	4	0	1	4	0	0
ENSG00000164543	9186	5563	11918	8566	6374	5563
ENSG00000164548	2426	1836	663	2535	2114	1836
ENSG00000164556	0	0	0	0	0	0
ENSG00000164574	2345	557	0	1567	24	557
ENSG00000164576	460	652	1	1057	953	652
ENSG00000164587	176219	167531	42861	162730	55282	167531
ENSG00000164588	0	0	0	0	0	0
ENSG00000164591	0	0	0	0	0	0
ENSG00000164597	5	1338	201	790	4290	1338
ENSG00000164600	0	0	0	0	0	0
ENSG00000164603	644	266	0	840	0	266
ENSG00000164604	0	0	0	0	0	0
ENSG00000164609	2648	3454	429	1865	2201	3454
ENSG00000164610	261	1221	1	538	1	1221
ENSG00000164611	578	11	1	197	1	11
ENSG00000164615	2278	1799	7427	1482	1430	1799
ENSG00000164616	0	0	0	0	0	0
ENSG00000164619	0	0	0	0	0	0
ENSG00000164620	747	456	45	704	620	456
ENSG00000164621	0	0	0	0	0	0
ENSG00000164626	1	0	0	266	1	0
ENSG00000164627	0	0	0	1	0	0
ENSG00000164631	618	2584	0	1951	26	2584
ENSG00000164638	0	0	0	18	137	0
ENSG00000164645	0	0	0	0	0	0
